,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,1990,2010-Feedback,2010 - No Feedback,,,,,
,,,,,,,,,,
,Table 2: Transportation System Attributes,,,,,,,,,
,,,1990,2010,2010,,,,,
,,,Feedback,Feedback,No Feedback,,,,,
,Average Trip Time (minutes),,,,,,,,,
,,Origins,16.8,20.1,31.3,,,,,
,,Destinations,16.7,16.8,22.2,,,,,
,Average Trip Length (miles),,,,,,,,,
,,Origins,9.4,8.7,9.5,,,,,
,,Destinations,8.9,7.4,7.6,,,,,
,Average Trip Speed (MPH),,,,,,,,,
,,Origins,33,26,18,,,,,
,,Destinations,32,26,20,,,,,
,Ratio of Congested to Freeflow Time,,,,,,,,,
,,Origins,1.3,1.6,2.4,,,,,
,,Destinations,1.3,1.5,2,,,,,
,,,,,,,,,,
,"note: all trip purposes, peak hour trips, Montgomery County trip ends",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,TABLE 3:  PERCENTAGE OF PEAK PERIOD TRIPS IN  PEAK HOUR,,,,,,,,,
,,,,,,,,,,
,PURPOSE,,1990,2010,2010,,,,,
,,,Feedback,Feedback,No Feedback,,,,,
,,,,,,,,,,
,Work,Origins,0.37,0.35,0.37,,,,,
,,Destinations,0.37,0.36,0.37,,,,,
,Non-Work,Origins,0.16,0.14,0.16,,,,,
,,Destinations,0.16,0.14,0.16,,,,,
,,,,,,,,,,
,"note: peak period trips, Montgomery County trip ends",,,,,,,,,
,,,,,,,,,,
,TABLE 3: COMPARISON OF JURISDICTIONAL FLOWS,,,,,,,,,
,,,1990,2010,2010,,,,,
,,,Feedback,Feedback,No Feedback,,,,,
,Work Trips Originating in Montgomery County,,,,,,,,,
,Destination,,,,,,,,,
,Washington D.C.,,25941,28827,28413,,,,,
,Montgomery Co. MD,,159109,243075,230086,,,,,
,Prince George's Co. MD,,25980,37137,37058,,,,,
,Fairfax Co. VA,,18976,15362,28620,,,,,
,Frederick Co. MD,,12593,33635,36320,,,,,
,Howard Co. MD,,6153,15134,16781,,,,,
,,,,,,,,,,
,Work Trips Destined For Montgomery County,,,,,,,,,
,Origin,,,,,,,,,
,Washington D.C.,,=VALUE(I233),=VALUE(J233),=VALUE(K233),,,=VALUE(34783),  37588, 41806
,Montgomery Co. MD,,=VALUE(I234),=VALUE(J234),=VALUE(K234),,,159109,243075,230086
,Prince George's Co. MD,,=VALUE(I235),=VALUE(J235),=VALUE(K235),,,  19924,  25208,  24093
,Fairfax Co. VA,,=VALUE(I236),=VALUE(J236),=VALUE(K236),,,  13622,  12501,  12456
,Frederick Co. MD,,=VALUE(I237),=VALUE(J237),=VALUE(K237),,,    1495,      690,    2238
,Howard Co. MD,,=VALUE(I238),=VALUE(J238),=VALUE(K238),,,    6519,    4866,    5127
,,,,,,,,,,
,"note: peak period trips, Montgomery County trip ends",,,,,,,,,
,,,,,,,,,,
,TABLE 6: ARTERIAL LEVEL OF SERVICE,,,,,,,,,
,,,1990,2010,2010,,,,,
,LOS,,Feedback,Feedback,No Feedback,,,,,
,,,,,,,,,,
,A,,0.15,0.14,0.05,,,,,
,B,,0.4,0.28,0.12,,,,,
,C,,0.28,0.29,0.15,,,,,
,D,,0.12,0.16,0.14,,,,,
,E,,0.03,0.08,0.15,,,,,
,F,,0.02,0.05,0.39,,,,,
,,,,,,,,,,
,TABLE 7: FREEWAY LEVEL OF SERVICE,,,,,,,,,
,,,1990,2010,2010,,,,,
,LOS,,Feedback,Feedback,No Feedback,,,,,
,,,,,,,,,,
,A,,0.01,0,0,,,,,
,B,,0.07,0.05,0.02,,,,,
,C,,0.11,0.12,0.11,,,,,
,D,,0.37,0.41,0.25,,,,,
,E,,0.41,0.34,0.35,,,,,
,F,,0.03,0.08,0.27,,,,,
