,,,,,,,,,,
,,TABLE 1: COMPARISON OF SOME KEY DATA INPUTS,,,,,,,,
,,,,,,,,,,
,,Data Input,1990,2010,,      1990,2010,,,Change
,,,,,,,,,,
,,Housing Units,280000,340000,,0.18,,,,
,,Jobs,415000,650000,,0.36,,,,
,,Road Capacity,3210000,4190000,,0.23,,,,
,,,,,,,,,,
,,(note: Montgomery County totals),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
--------------------------------------------------------------------------------------------,,,,,,,,,,
TABLE 8: COMPARISON INTERSECTION CRITICAL LANE VOLUME,,,,,,,,,,
--------------------------------------------------------------------------------------------,,,,,,,,,,
Level of Service,1990,2010,2010,,,,,,,
,feedback,feedback,no feedback,,,,,,,
--------------------------------------------------------------------------------------------,,,,,,,,,,
A,0.05,0.08,0.18,,,,,,,
B,0.15,0.14,0.12,,,,,,,
C,0.35,0.21,0.12,,,,,,,
D,0.3,0.23,0.09,,,,,,,
E,0.08,0.24,0.12,,,,,,,
F,0.02,0.1,0.39,,,,,,,
--------------------------------------------------------------------------------------------,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Purpose,,,,,,
,,------------------------------------------------------------------------------------------------,,,,,,,,
,,TABLE 2: MONTGOMERY COUNTY TRIP GENERATION:,,,,,,,,
,,-------------------------------------------------------------------------------------------------,,,,,,1990,,
,,,1990,,2010,,,,,
,,Purpose,Origin,Destination,Origin,Destination,,,,
,,------------------------------------------------------------------------------------------------,,,,,,,,
,Work to Home,W2H,198062,187238,298502,244934,,,,
,Work to Other linked,W2Ol,74937,72377,115741,96563,,,,
,Other to Home linked   72377     75439,O2Hl,72377,75439,96563,96157,,,,
,Home to Work,H2W,13159,12233,15625,15847,,,,
,Home to Other,H2O,366224,373897,447058,449361,,,,
,Other to Other,O2O,308179,308179,373635,373635,,,,
,,,,,,,,,,
,,& Other to Home,,,,,,,,
,,,,,,,,,,
,,-------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
